timestamp,bid,ask
2025-06-24 17:11:27.633607,67.27,67.3
2025-06-24 17:11:34.286121,67.26,67.31
2025-06-24 17:11:36.878250,67.28,67.32
2025-06-24 17:11:39.319037,67.3,67.34
2025-06-24 17:11:40.062792,67.32,67.35
2025-06-24 17:11:42.960156,67.31,67.35
2025-06-24 17:11:43.730421,67.31,67.34
2025-06-24 17:11:46.284034,67.3,67.35
2025-06-24 17:11:47.376816,67.29,67.33
2025-06-24 17:11:50.497882,67.3,67.34
2025-06-24 17:11:51.536814,67.31,67.34
2025-06-24 17:11:53.404571,67.3,67.35
2025-06-24 17:11:54.699310,67.3,67.33
2025-06-24 17:11:55.784499,67.3,67.34
2025-06-24 17:11:56.245299,67.3,67.33
2025-06-24 17:11:57.503466,67.3,67.35
2025-06-24 17:11:57.774288,67.31,67.34
2025-06-24 17:11:58.900045,67.32,67.35
2025-06-24 17:23:11.920377,67.3,67.33
2025-06-24 17:23:12.415323,67.3,67.35
2025-06-24 17:23:14.133915,67.3,67.33
2025-06-24 17:23:34.224423,67.3,67.35
2025-06-24 17:23:42.935013,67.3,67.34
2025-06-24 17:24:00.429110,67.31,67.34
2025-06-24 17:24:01.192934,67.32,67.36
2025-06-24 17:24:02.391509,67.33,67.36
2025-06-24 17:24:03.804768,67.33,67.37
2025-06-24 17:24:05.476500,67.33,67.36
2025-06-24 17:24:06.223688,67.32,67.37
2025-06-24 17:24:07.087704,67.33,67.36
2025-06-24 17:24:25.907988,67.32,67.36
2025-06-24 17:24:26.908538,67.31,67.36
2025-06-24 17:24:29.243740,67.3,67.35
2025-06-24 17:24:30.218712,67.3,67.34
2025-06-24 17:24:38.308999,67.33,67.38
2025-06-24 17:24:39.603901,67.33,67.36
2025-06-24 17:24:42.678832,67.33,67.38
2025-06-24 17:24:44.891741,67.34,67.37
2025-06-24 17:24:55.624262,67.36,67.41
2025-06-24 17:24:58.835814,67.37,67.41
2025-06-24 17:24:59.067571,67.37,67.4
2025-06-24 17:24:59.295809,67.37,67.41
2025-06-24 17:25:00.726895,67.37,67.4
2025-06-24 17:25:01.346705,67.38,67.42
2025-06-24 17:25:02.658098,67.38,67.41
2025-06-24 17:25:03.036259,67.38,67.42
2025-06-24 17:25:03.277965,67.39,67.42
2025-06-24 17:25:06.213304,67.39,67.43
2025-06-24 17:25:07.278099,67.4,67.46
2025-06-24 17:25:07.418353,67.4,67.45
2025-06-24 17:25:08.170053,67.41,67.45
2025-06-24 17:25:08.389048,67.4,67.45
2025-06-24 17:25:09.202529,67.4,67.44
2025-06-24 17:25:14.332355,67.39,67.44
2025-06-24 17:25:16.448861,67.4,67.43
2025-06-24 17:25:18.911078,67.4,67.45
2025-06-24 17:25:20.075788,67.41,67.45
2025-06-24 17:25:24.061309,67.4,67.44
2025-06-24 17:25:24.762441,67.41,67.44
2025-06-24 17:25:27.768775,67.4,67.44
2025-06-24 17:25:28.012441,67.38,67.42
2025-06-24 17:25:28.323175,67.38,67.41
2025-06-24 17:25:29.090070,67.38,67.43
2025-06-24 17:25:32.673865,67.37,67.42
2025-06-24 17:25:33.329543,67.37,67.41
2025-06-24 17:25:33.614073,67.36,67.41
2025-06-24 17:25:34.761847,67.36,67.4
2025-06-24 17:25:35.814610,67.37,67.4
2025-06-24 17:25:36.091390,67.37,67.41
2025-06-24 17:25:38.019316,67.38,67.42
2025-06-24 17:25:45.350656,67.37,67.42
2025-06-24 17:25:46.890026,67.38,67.42
2025-06-24 17:25:47.285354,67.4,67.44
2025-06-24 17:25:50.072576,67.39,67.43
2025-06-24 17:25:58.570417,67.38,67.43
2025-06-24 17:25:59.141412,67.38,67.42
2025-06-24 17:26:00.008380,67.39,67.42
2025-06-24 17:26:00.564035,67.39,67.44
2025-06-24 17:26:00.947653,67.4,67.45
2025-06-24 17:26:04.335385,67.43,67.46
2025-06-24 17:26:04.539716,67.42,67.47
2025-06-24 17:26:06.395864,67.43,67.46
2025-06-24 17:26:09.152509,67.42,67.47
2025-06-24 17:26:20.667227,67.46,67.49
2025-06-24 17:26:21.042933,67.44,67.47
2025-06-24 17:26:21.883731,67.43,67.48
2025-06-24 17:26:23.055158,67.42,67.47
2025-06-24 17:26:23.841082,67.42,67.45
2025-06-24 17:26:24.431046,67.43,67.46
2025-06-24 17:26:25.725312,67.44,67.47
2025-06-24 17:26:26.838809,67.44,67.48
2025-06-24 17:26:31.689671,67.45,67.49
2025-06-24 17:26:32.270189,67.45,67.48
2025-06-24 17:26:34.594149,67.45,67.49
2025-06-24 17:26:35.652242,67.43,67.47
2025-06-24 17:26:38.628572,67.43,67.48
2025-06-24 17:26:38.991605,67.42,67.47
2025-06-24 17:26:40.058786,67.43,67.46
2025-06-24 17:26:43.609988,67.41,67.45
2025-06-24 17:26:44.467025,67.42,67.47
2025-06-24 17:26:45.283600,67.44,67.47
2025-06-24 17:26:46.404491,67.44,67.48
2025-06-24 17:26:47.343890,67.43,67.47
2025-06-24 17:26:47.982790,67.44,67.47
2025-06-24 17:26:48.675363,67.43,67.47
2025-06-24 17:27:01.223448,67.45,67.49
2025-06-24 17:27:06.740988,67.46,67.5
2025-06-24 17:27:07.224249,67.45,67.5
2025-06-24 17:27:09.590531,67.45,67.49
2025-06-24 17:27:11.774308,67.45,67.48
2025-06-24 17:27:12.588049,67.45,67.5
2025-06-24 17:27:13.960119,67.45,67.48
2025-06-24 17:27:20.565159,67.45,67.5
2025-06-24 17:27:21.857106,67.46,67.5
2025-06-24 17:27:22.099326,67.45,67.49
2025-06-24 17:27:22.222323,67.42,67.46
2025-06-24 17:27:26.344520,67.41,67.46
2025-06-24 17:27:26.575662,67.42,67.45
2025-06-24 17:27:27.187612,67.41,67.45
2025-06-24 17:27:36.746178,67.41,67.44
2025-06-24 17:27:38.147902,67.39,67.43
2025-06-24 17:27:38.784076,67.4,67.44
2025-06-24 17:27:41.785936,67.41,67.44
2025-06-24 17:27:42.967599,67.4,67.44
2025-06-24 17:27:47.143910,67.4,67.43
2025-06-24 17:27:57.929665,67.4,67.44
2025-06-24 17:27:58.913236,67.4,67.43
2025-06-24 17:28:00.831711,67.4,67.44
2025-06-24 17:28:03.785104,67.41,67.44
2025-06-24 17:28:12.859642,67.41,67.45
2025-06-24 17:28:14.845385,67.41,67.44
2025-06-24 17:28:16.768894,67.43,67.47
2025-06-24 17:28:18.139233,67.43,67.46
2025-06-24 17:28:22.748118,67.43,67.47
2025-06-24 17:28:33.283630,67.43,67.46
2025-06-24 17:28:37.680489,67.43,67.48
2025-06-24 17:28:39.972349,67.43,67.47
2025-06-24 17:28:43.378971,67.42,67.46
2025-06-24 17:28:56.754926,67.42,67.47
2025-06-24 17:28:56.976599,67.43,67.46
2025-06-24 17:28:59.958186,67.43,67.47
2025-06-24 17:29:01.813828,67.42,67.47
2025-06-24 17:29:04.477912,67.43,67.47
2025-06-24 17:29:05.141076,67.42,67.45
2025-06-24 17:29:05.742172,67.43,67.46
2025-06-24 17:29:08.012434,67.42,67.46
2025-06-24 17:29:09.848203,67.42,67.45
2025-06-24 17:29:12.518577,67.43,67.46
2025-06-24 17:29:15.084236,67.42,67.46
2025-06-24 17:29:18.917880,67.43,67.47
2025-06-24 17:29:19.580508,67.42,67.47
2025-06-24 17:29:21.105254,67.42,67.46
2025-06-24 17:29:23.748791,67.42,67.47
2025-06-24 17:29:27.380362,67.43,67.47
2025-06-24 17:29:28.491943,67.44,67.49
2025-06-24 17:29:39.170831,67.43,67.47
2025-06-24 17:29:39.426876,67.43,67.48
2025-06-24 17:29:41.171072,67.44,67.48
2025-06-24 17:29:43.876864,67.43,67.48
2025-06-24 17:29:44.472771,67.43,67.47
2025-06-24 17:29:50.002393,67.44,67.47
2025-06-24 17:29:51.002779,67.44,67.48
2025-06-24 17:30:01.087902,67.46,67.5
2025-06-24 17:30:11.033988,67.45,67.5
2025-06-24 17:30:13.161298,67.46,67.51
2025-06-24 17:30:13.699643,67.46,67.5
2025-06-24 17:30:14.117536,67.47,67.51
2025-06-24 17:30:19.926564,67.5,67.55
2025-06-24 17:30:20.268038,67.5,67.53
2025-06-24 17:30:20.854205,67.49,67.54
2025-06-24 17:30:21.204471,67.49,67.52
2025-06-24 17:30:21.780529,67.48,67.53
2025-06-24 17:30:22.072156,67.48,67.51
2025-06-24 17:30:25.572157,67.49,67.53
2025-06-24 17:30:26.682295,67.48,67.52
2025-06-24 17:30:29.358791,67.48,67.51
2025-06-24 17:30:30.132854,67.48,67.53
2025-06-24 17:30:41.193993,67.49,67.54
2025-06-24 17:30:41.341274,67.51,67.55
2025-06-24 17:30:44.357843,67.51,67.56
2025-06-24 17:30:45.331085,67.51,67.55
2025-06-24 17:30:46.067733,67.51,67.56
2025-06-24 17:30:47.208432,67.52,67.55
2025-06-24 17:30:51.957982,67.51,67.56
2025-06-24 17:30:54.049993,67.51,67.54
2025-06-24 17:30:54.454174,67.51,67.55
2025-06-24 17:30:56.859020,67.51,67.54
2025-06-24 17:30:57.398292,67.5,67.54
2025-06-24 17:30:58.730188,67.49,67.52
2025-06-24 17:31:05.614941,67.49,67.54
2025-06-24 17:31:07.308366,67.5,67.53
2025-06-24 17:31:08.354552,67.49,67.52
2025-06-24 17:31:12.117656,67.49,67.54
2025-06-24 17:31:12.522158,67.49,67.52
2025-06-24 17:31:14.758281,67.49,67.53
2025-06-24 17:31:14.898204,67.5,67.53
2025-06-24 17:31:16.230565,67.5,67.55
2025-06-24 17:31:21.938319,67.51,67.54
2025-06-24 17:31:24.972156,67.5,67.55
2025-06-24 17:31:38.091287,67.49,67.52
2025-06-24 17:31:38.608028,67.48,67.53
2025-06-24 17:31:39.884011,67.49,67.52
2025-06-24 17:31:40.588149,67.5,67.53
2025-06-24 17:31:42.779886,67.49,67.53
2025-06-24 17:31:44.922132,67.5,67.53
2025-06-24 17:31:45.891012,67.49,67.54
2025-06-24 17:31:49.836569,67.5,67.53
2025-06-24 17:31:50.506188,67.49,67.52
2025-06-24 17:31:57.032183,67.48,67.52
2025-06-24 17:32:00.058029,67.49,67.52
2025-06-24 17:32:00.294797,67.49,67.53
2025-06-24 17:32:01.346606,67.5,67.54
2025-06-24 17:32:01.758025,67.49,67.53
2025-06-24 17:32:07.761410,67.5,67.53
2025-06-24 17:32:08.088827,67.49,67.53
2025-06-24 17:32:08.783695,67.49,67.52
2025-06-24 17:32:13.234209,67.49,67.53
2025-06-24 17:32:17.257151,67.48,67.52
2025-06-24 17:32:20.652625,67.48,67.51
2025-06-24 17:32:20.889196,67.47,67.52
2025-06-24 17:32:21.855217,67.48,67.51
2025-06-24 17:32:22.836098,67.47,67.51
2025-06-24 17:32:24.453971,67.48,67.52
2025-06-24 17:32:35.145502,67.47,67.5
2025-06-24 17:32:38.625526,67.47,67.52
2025-06-24 17:32:41.292041,67.48,67.52
2025-06-24 17:32:41.729112,67.48,67.53
2025-06-24 17:32:43.241550,67.48,67.52
2025-06-24 17:32:47.609498,67.48,67.53
2025-06-24 17:32:49.747842,67.49,67.53
2025-06-24 17:32:51.291988,67.48,67.52
2025-06-24 17:32:53.434552,67.48,67.51
2025-06-24 17:32:54.353986,67.49,67.52
2025-06-24 17:33:06.930229,67.49,67.54
2025-06-24 17:33:07.567186,67.51,67.56
2025-06-24 17:33:08.265561,67.52,67.57
2025-06-24 17:33:08.608418,67.53,67.56
2025-06-24 17:33:09.260388,67.52,67.57
2025-06-24 17:33:12.966823,67.52,67.56
2025-06-24 17:33:13.464056,67.52,67.55
2025-06-24 17:33:13.791421,67.51,67.56
2025-06-24 17:33:14.322020,67.51,67.57
2025-06-24 17:33:15.436036,67.52,67.57
2025-06-24 17:33:16.096018,67.52,67.56
2025-06-24 17:33:16.645148,67.52,67.55
2025-06-24 17:33:17.191800,67.51,67.56
2025-06-24 17:33:24.922081,67.53,67.58
2025-06-24 17:33:26.483661,67.52,67.57
2025-06-24 17:33:26.910093,67.52,67.56
2025-06-24 17:33:30.920637,67.52,67.55
2025-06-24 17:33:34.202350,67.51,67.56
2025-06-24 17:33:35.267991,67.51,67.54
2025-06-24 17:33:41.793386,67.53,67.57
2025-06-24 17:33:48.077652,67.53,67.58
2025-06-24 17:33:49.226607,67.54,67.57
2025-06-24 17:33:51.276521,67.53,67.58
2025-06-24 17:33:54.979602,67.54,67.58
2025-06-24 17:33:59.415019,67.54,67.59
2025-06-24 17:34:00.324711,67.56,67.59
2025-06-24 17:34:01.274779,67.55,67.59
2025-06-24 17:34:02.695727,67.54,67.57
2025-06-24 17:34:07.631395,67.54,67.58
2025-06-24 17:34:08.126768,67.55,67.59
2025-06-24 17:34:12.034568,67.55,67.58
2025-06-24 17:34:13.591245,67.54,67.58
2025-06-24 17:34:16.675185,67.54,67.59
2025-06-24 17:34:18.294523,67.54,67.58
2025-06-24 17:34:21.608578,67.55,67.6
2025-06-24 17:34:23.192179,67.55,67.58
2025-06-24 17:34:24.431044,67.54,67.59
2025-06-24 17:34:26.660410,67.55,67.59
2025-06-24 17:34:26.923582,67.54,67.59
2025-06-24 17:34:27.391079,67.55,67.58
2025-06-24 17:34:27.638880,67.55,67.59
2025-06-24 17:34:30.541470,67.54,67.57
2025-06-24 17:34:32.041188,67.55,67.6
2025-06-24 17:34:32.645211,67.55,67.59
2025-06-24 17:34:34.222121,67.54,67.58
2025-06-24 17:34:36.547951,67.55,67.6
2025-06-24 17:34:36.952550,67.55,67.59
2025-06-24 17:34:41.163853,67.55,67.6
2025-06-24 17:34:41.579111,67.55,67.58
2025-06-24 17:34:41.848889,67.55,67.6
2025-06-24 17:34:43.198224,67.55,67.58
2025-06-24 17:34:43.791991,67.56,67.6
2025-06-24 17:34:48.911816,67.55,67.59
2025-06-24 17:34:56.155068,67.56,67.61
2025-06-24 17:34:56.991749,67.56,67.6
2025-06-24 17:34:59.161327,67.56,67.61
2025-06-24 17:35:00.539862,67.56,67.6
2025-06-24 17:35:01.222270,67.57,67.61
2025-06-24 17:35:02.634403,67.57,67.62
2025-06-24 17:35:07.867495,67.57,67.6
2025-06-24 17:35:16.241132,67.57,67.61
2025-06-24 17:35:19.205080,67.57,67.6
2025-06-24 17:35:19.433872,67.57,67.61
2025-06-24 17:35:28.792387,67.56,67.6
2025-06-24 17:35:28.853962,67.57,67.6
2025-06-24 17:35:29.577113,67.56,67.61
2025-06-24 17:35:30.015102,67.57,67.6
2025-06-24 17:35:30.837622,67.56,67.6
2025-06-24 17:35:32.008138,67.56,67.59
2025-06-24 17:35:34.828578,67.55,67.58
2025-06-24 17:35:35.168004,67.55,67.59
2025-06-24 17:35:37.762736,67.56,67.6
2025-06-24 17:35:39.708506,67.55,67.59
2025-06-24 17:35:41.153832,67.56,67.6
2025-06-24 17:35:42.648888,67.57,67.61
2025-06-24 17:35:44.691188,67.56,67.6
2025-06-24 17:35:47.840880,67.55,67.59
2025-06-24 17:35:48.258028,67.56,67.6
2025-06-24 17:35:53.822747,67.55,67.58
2025-06-24 17:35:55.468091,67.56,67.59
2025-06-24 17:35:56.090989,67.55,67.6
2025-06-24 17:35:56.934309,67.56,67.59
2025-06-24 17:35:59.662755,67.55,67.59
2025-06-24 17:36:00.125344,67.57,67.6
2025-06-24 17:36:12.363840,67.56,67.61
2025-06-24 17:36:12.933616,67.56,67.59
2025-06-24 17:36:13.545082,67.55,67.59
2025-06-24 17:36:14.511451,67.56,67.59
2025-06-24 17:36:16.191167,67.57,67.61
2025-06-24 17:36:17.158429,67.56,67.61
2025-06-24 17:36:17.558237,67.56,67.59
2025-06-24 17:36:19.772262,67.55,67.6
2025-06-24 17:36:20.047672,67.56,67.6
2025-06-24 17:36:20.548463,67.56,67.59
2025-06-24 17:36:21.196444,67.56,67.61
2025-06-24 17:36:23.121385,67.56,67.6
2025-06-24 17:36:24.628744,67.56,67.59
2025-06-24 17:36:28.694362,67.56,67.61
2025-06-24 17:36:30.052577,67.57,67.61
2025-06-24 17:36:57.289239,67.57,67.6
2025-06-24 17:37:09.649602,67.55,67.6
2025-06-24 17:37:10.998036,67.57,67.6
2025-06-24 17:37:20.031976,67.58,67.62
2025-06-24 17:37:20.427202,67.59,67.63
2025-06-24 17:37:21.272803,67.59,67.64
2025-06-24 17:37:21.514022,67.6,67.64
2025-06-24 17:37:22.611675,67.62,67.65
2025-06-24 17:37:23.109272,67.61,67.66
2025-06-24 17:37:23.336023,67.63,67.66
2025-06-24 17:37:23.614450,67.63,67.68
2025-06-24 17:37:23.904890,67.62,67.66
2025-06-24 17:37:24.347605,67.63,67.66
2025-06-24 17:37:25.668888,67.63,67.67
2025-06-24 17:37:27.658022,67.63,67.68
2025-06-24 17:37:28.072326,67.63,67.67
2025-06-24 17:37:29.108334,67.64,67.67
2025-06-24 17:37:29.539268,67.63,67.68
2025-06-24 17:37:30.558224,67.63,67.66
2025-06-24 17:37:30.977333,67.63,67.67
2025-06-24 17:37:34.329219,67.62,67.67
2025-06-24 17:37:36.121307,67.61,67.65
2025-06-24 17:37:38.612460,67.62,67.65
2025-06-24 17:37:39.321929,67.61,67.66
2025-06-24 17:37:40.070854,67.61,67.64
2025-06-24 17:37:42.983573,67.66,67.69
2025-06-24 17:37:46.460890,67.65,67.68
2025-06-24 17:37:46.991137,67.65,67.69
2025-06-24 17:37:48.675292,67.65,67.7
2025-06-24 17:37:48.987400,67.65,67.69
2025-06-24 17:37:49.521085,67.64,67.68
2025-06-24 17:37:54.350573,67.65,67.69
2025-06-24 17:37:54.943579,67.64,67.68
2025-06-24 17:37:56.487908,67.64,67.67
2025-06-24 17:38:06.297786,67.64,67.69
2025-06-24 17:38:08.921044,67.65,67.7
2025-06-24 17:38:09.708459,67.65,67.69
2025-06-24 17:38:12.143048,67.64,67.69
2025-06-24 17:38:12.399382,67.65,67.68
2025-06-24 17:38:12.954605,67.64,67.68
2025-06-24 17:38:13.330703,67.65,67.69
2025-06-24 17:38:14.141315,67.64,67.69
2025-06-24 17:38:17.022637,67.64,67.68
2025-06-24 17:38:17.966879,67.64,67.67
2025-06-24 17:38:26.872143,67.65,67.68
2025-06-24 17:38:27.223924,67.64,67.69
2025-06-24 17:38:27.579979,67.63,67.67
2025-06-24 17:38:28.065127,67.61,67.66
2025-06-24 17:38:28.941056,67.61,67.64
2025-06-24 17:38:29.708528,67.61,67.65
2025-06-24 17:38:31.359851,67.62,67.65
2025-06-24 17:38:31.781268,67.61,67.66
2025-06-24 17:38:33.854426,67.61,67.65
2025-06-24 17:38:34.337697,67.6,67.64
2025-06-24 17:38:36.581190,67.61,67.65
2025-06-24 17:38:40.672059,67.62,67.66
2025-06-24 17:38:41.303602,67.62,67.67
2025-06-24 17:38:43.041503,67.62,67.66
2025-06-24 17:38:45.502709,67.62,67.67
2025-06-24 17:38:46.135489,67.63,67.67
2025-06-24 17:38:55.920716,67.62,67.66
2025-06-24 17:39:01.207116,67.63,67.67
2025-06-24 17:39:01.917902,67.64,67.67
2025-06-24 17:39:03.300100,67.63,67.68
2025-06-24 17:39:04.643145,67.63,67.67
2025-06-24 17:39:05.776748,67.62,67.67
2025-06-24 17:39:09.866757,67.62,67.65
2025-06-24 17:39:10.633720,67.62,67.66
2025-06-24 17:39:15.057469,67.62,67.65
2025-06-24 17:39:17.959932,67.63,67.67
2025-06-24 17:39:19.488672,67.62,67.66
2025-06-24 17:39:21.437678,67.63,67.68
2025-06-24 17:39:21.724543,67.64,67.68
2025-06-24 17:39:22.299321,67.65,67.69
2025-06-24 17:39:22.988373,67.64,67.69
2025-06-24 17:39:23.730705,67.63,67.68
2025-06-24 17:39:26.728196,67.64,67.68
2025-06-24 17:39:28.733871,67.64,67.67
2025-06-24 17:39:29.492176,67.64,67.68
2025-06-24 17:39:32.720529,67.64,67.67
2025-06-24 17:39:35.021169,67.65,67.7
2025-06-24 17:39:37.354128,67.64,67.7
2025-06-24 17:39:39.329998,67.66,67.7
2025-06-24 17:39:42.141054,67.65,67.69
2025-06-24 17:39:44.111144,67.65,67.68
2025-06-24 17:39:45.540211,67.68,67.72
2025-06-24 17:39:45.772093,67.67,67.72
2025-06-24 17:39:47.260635,67.68,67.73
2025-06-24 17:39:48.294162,67.68,67.72
2025-06-24 17:39:49.048524,67.67,67.72
2025-06-24 17:39:51.706485,67.69,67.74
2025-06-24 17:39:52.448649,67.69,67.72
2025-06-24 17:39:54.199869,67.68,67.73
2025-06-24 17:39:54.948040,67.69,67.72
2025-06-24 17:39:55.302157,67.68,67.73
2025-06-24 17:39:56.417452,67.68,67.72
2025-06-24 17:39:58.676732,67.69,67.72
2025-06-24 17:39:59.858079,67.69,67.73
2025-06-24 17:40:03.089698,67.7,67.74
2025-06-24 17:40:04.562034,67.69,67.74
2025-06-24 17:40:05.280555,67.7,67.73
2025-06-24 17:40:08.053129,67.69,67.73
2025-06-24 17:40:13.121892,67.67,67.7
2025-06-24 17:40:13.877072,67.68,67.71
2025-06-24 17:40:14.317095,67.68,67.72
2025-06-24 17:40:17.859067,67.69,67.72
2025-06-24 17:40:19.251001,67.68,67.72
2025-06-24 17:40:19.770915,67.69,67.73
2025-06-24 17:40:20.802699,67.68,67.73
2025-06-24 17:40:22.893585,67.69,67.73
2025-06-24 17:40:23.766820,67.68,67.72
2025-06-24 17:40:25.064506,67.69,67.73
2025-06-24 17:40:25.287547,67.68,67.73
2025-06-24 17:40:27.904241,67.68,67.71
2025-06-24 17:40:28.567516,67.68,67.72
2025-06-24 17:40:37.209397,67.69,67.72
2025-06-24 17:40:38.238789,67.68,67.72
2025-06-24 17:40:39.791207,67.69,67.73
2025-06-24 17:40:40.000725,67.68,67.71
2025-06-24 17:40:41.217829,67.68,67.73
2025-06-24 17:40:41.808402,67.68,67.72
2025-06-24 17:40:42.673349,67.68,67.73
2025-06-24 17:40:45.650136,67.68,67.71
2025-06-24 17:40:46.062623,67.68,67.72
2025-06-24 17:40:49.308051,67.68,67.71
2025-06-24 17:40:51.937896,67.67,67.72
2025-06-24 17:40:58.935963,67.66,67.7
2025-06-24 17:41:00.124331,67.67,67.7
2025-06-24 17:41:00.571338,67.66,67.7
2025-06-24 17:41:00.818991,67.66,67.69
2025-06-24 17:41:03.101048,67.67,67.7
2025-06-24 17:41:04.602473,67.67,67.72
2025-06-24 17:41:07.372692,67.66,67.7
2025-06-24 17:41:10.280048,67.66,67.69
